"jobTitle-link","jobTitle-link href","jobDate","jobLocation"
"Support Worker - Experienced - Far North Coast","https://careers.australianunity.com.au/job/Ocean-Shores-Support-Worker-Experienced-Far-North-Coast-NSW-2483/947691810/","1 Jan 2025","Ocean Shores, NSW, AU, 2483"
"Support Worker - Personal Care - Lower Mid North Coast","https://careers.australianunity.com.au/job/Kempsey-Support-Worker-Personal-Care-Lower-Mid-North-Coast-NSW-2440/947687010/","1 Jan 2025","Kempsey, NSW, AU, 2440"
"Support Worker - Entry Level - Far North Coast","https://careers.australianunity.com.au/job/Terranora-Support-Worker-Entry-Level-Far-North-Coast-NSW-2486/947684110/","1 Jan 2025","Terranora, NSW, AU, 2486"
"Support Worker - Entry Level - Upper Mid North Coast","https://careers.australianunity.com.au/job/Woolgoolga-Support-Worker-Entry-Level-Upper-Mid-North-Coast-NSW-2456/947692610/","1 Jan 2025","Woolgoolga, NSW, AU, 2456"
"Support Worker - Personal Care - Hunter Valley","https://careers.australianunity.com.au/job/Maitland-Support-Worker-Personal-Care-Hunter-Valley-NSW-2320/947687310/","1 Jan 2025","Maitland, NSW, AU, 2320"
"Support Worker - Entry Level - Lower Mid North Coast","https://careers.australianunity.com.au/job/Port-Macquarie-Support-Worker-Entry-Level-Lower-Mid-North-Coast-NSW-2444/947693610/","1 Jan 2025","Port Macquarie, NSW, AU, 2444"
"Support Worker - Personal Care - Northern Rivers","https://careers.australianunity.com.au/job/Grafton-Support-Worker-Personal-Care-Northern-Rivers-NSW-2460/947685910/","1 Jan 2025","Grafton, NSW, AU, 2460"
"Support Worker - Experienced - Lower Mid North Coast","https://careers.australianunity.com.au/job/Taree-Support-Worker-Experienced-Lower-Mid-North-Coast-NSW-2430/947690910/","1 Jan 2025","Taree, NSW, AU, 2430"
"Support Worker - Experienced - Central Coast","https://careers.australianunity.com.au/job/Lake-Munmorah-Support-Worker-Experienced-Central-Coast-NSW-2259/948609310/","1 Jan 2025","Lake Munmorah, NSW, AU, 2259"
"Support Worker - Entry Level - Newcastle & Lake Macquarie","https://careers.australianunity.com.au/job/Kotara-Support-Worker-Entry-Level-Newcastle-&-Lake-Macquarie-NSW-2289/947693510/","1 Jan 2025","Kotara, NSW, AU, 2289"
"Support Worker - Entry Level - Central Coast","https://careers.australianunity.com.au/job/Wyong-Support-Worker-Entry-Level-Central-Coast-NSW-2259/947693910/","1 Jan 2025","Wyong, NSW, AU, 2259"
"Support Worker - Harden","https://careers.australianunity.com.au/job/Harden-Support-Worker-Harden-NSW-2587/1054576866/","1 Jan 2025","Harden, NSW, AU, 2587"
"Support Worker - Young","https://careers.australianunity.com.au/job/Young-Support-Worker-Young-NSW-2594/1054576366/","1 Jan 2025","Young, NSW, AU, 2594"
"Support Worker - Personal Care - Central Coast","https://careers.australianunity.com.au/job/The-Entrance-Support-Worker-Personal-Care-Central-Coast-NSW-2261/947687910/","1 Jan 2025","The Entrance, NSW, AU, 2261"
"Support Worker - Canowindra","https://careers.australianunity.com.au/job/Canowindra-Support-Worker-Canowindra-NSW-2804/1054576966/","1 Jan 2025","Canowindra, NSW, AU, 2804"
"Support Worker - Entry Level - Hunter Valley","https://careers.australianunity.com.au/job/Karuah-Support-Worker-Entry-Level-Hunter-Valley-NSW-2324/947693710/","1 Jan 2025","Karuah, NSW, AU, 2324"
"Home Care Support Worker | Aged Care","https://careers.australianunity.com.au/job/Bega%2C-Eden%2C-Tathra%2C-Merimbula-Home-Care-Support-Worker-Aged-Care-NSW-2550%2C-2551/947617310/","1 Jan 2025","Bega, Eden, Tathra, Merimbula, NSW, AU, 2550, 2551"
"Personal Carer | Home Care | Aged Care","https://careers.australianunity.com.au/job/Braidwood%2C-Queanbeyan-Personal-Carer-Home-Care-Aged-Care-NSW-2622%2C-2620/947615810/","1 Jan 2025","Braidwood, Queanbeyan, NSW, AU, 2622, 2620"
